"id","content","content_en","content_fr","content_kr","content_scn","content_tcn","content_ina","content_thai"
71,"私にとって世界の秘密は実存そのものだったのだ","To me, the world's secret is existence itself.","Pour moi, un des secrets de la vie est l'Existence elle-même.","나에게 있어서 세계의 비밀은 실존 그 자체였어.","对我而言这个世界的秘密就在于“存在”之中。","對我而言這個世界的秘密就在於“存在”之中","Bagiku rahasia dunia itu adalah keberadaan itu sendiri.","สำหรับฉันแล้ว ความลับของโลกนี้มันมีอยู่จริง"
72,"ドクター、また会えるとは思ってなかった…","Doctor, I thought I'd never see you again.","Docteur, je ne pensais pas vous revoir un jour.","닥터，다시 만날 거라고는 생각도 못했어…","博士、没想到还能再遇见你…","博士，沒想到還能再遇見你…","Dokter, aku pikir aku tidak akan bertemu lagi denganmu.","ไม่คิดเลยนะว่าจะได้เจอกันอีก ด็อกเตอร์..."
73,"ワタシは、あなたを許さない","I won't forgive you.","Je vous pardonnerai jamais !","전 당신을 용서하지 않아.","我是不会原谅你的。","我是不會原諒你的","Aku tidak akan memaafkan kamu.","ฉันจะไม่ยกโทษให้คุณเด็ดขาด"
74,"調子は、あまり良くないようだな","You don't look so good.","Vous n'avez pas l'air bien.","상태는 그다지 좋지 않은 것 같군.","这情况，看起来不是很好","這情況，看起來不是很好","Kelihatanya kedaaanya sedang tidak begitu baik.","ดูท่าทางไม่ค่อยดีเลยนะ"
75,"神獣の力、見せてあげる","I'll show you the power of a divine beast.","Vous allez voir la puissance d'une Bête Divine.","신수의 힘을 보여주겠어.","就让你见识一下神兽的力量吧。","就讓你見識一下神獸的力量吧","Akan kuperlihatkan kekuatan makhluk suci ini.","จะแสดงพลังของเทพอสูรให้ดูเป็นขวัญตา"
76,"私の神獣は絶対に負けない！","My divine beasts never lose.","Ma Bête Divine ne peut pas perdre !","나의 신수는 절대 지지 않는다고!","我的神兽是绝对不会输的！","我的神獸是絕對不會輸的！","Makhluk suci milikku tidak akan kalah.","เทพอสูรของฉันไม่มีวันแพ้แน่!"
77,"どいてスプラート、あなたと戦いたくはないわ","Sprout, out of my way! I don't want to fight with you.","Pousse-toi Sprout, ce n'est pas contre toi que j'ai envie de me battre !","비켜 스프라우트 너와 싸우고 싶지 않아.","让开，史普拉多，我并不想和你战斗","讓開，史普拉多，我並不想和你戰鬥","Minggir kau Sprout, aku tidak ingin bertarung denganmu.","หลีกไปซะ สเปราท์ ฉันไม่อยากสู้กับเธอนะ"
78,"ごめん、今は邪魔をしないで！","Sorry but don't interrupt me now.","Désolé, ne me dérangez pas maintenant !","미안 지금은 방해하지 말아줘!","抱歉，现在请不要防碍我！","抱歉，現在請不要防礙我！","Maaf, tolong jangan ganggu aku saat ini","โทษที อย่าเพิ่งเข้ามาขวางตอนนี้เลย"
79,"機械兵と力試しできるのはいいチャンスだわ","This is a good chance to experience a Mechanical Soldier's strength.","Voilà une bonne occasion de mesurer la force d'un Robot Soldat.","기계 병과 힘겨루기를 할 수 있다는 건 좋은 기회야.","这正是与机械兵测试力量的好机会呢。","這正是與機械兵測試力量的好機會呢","Bisa menguji kekuatan robot prajurit adalah kesempatan yang bagus.","โอกาสดีเลย ที่จะได้ลองพลังกับทหารจักรกล"
80,"畢竟、生死を分けるのは覚悟","I am prepared to accept my fate at last.","Après tout, je suis prêt à mourir.","결국 생사를 가르는 것은 각오뿐이야.","毕竟，能一决生死的是觉悟。","畢竟，能一決生死的是覺悟","Bagaimanapun harus siap antara hidup dan mati.","สุดท้ายแล้ว สิ่งที่จะแบ่งแยกผู้ยังชีวิตกับผู้ที่ตายแล้ว ก็คือปณิธาน"
81,"姿を見られて、生かしてはおけぬ","Now that you have seen me, I cannot allow you to continue living.","Je ne peux pas vous laisser repartir vivant maintenant que vous m'avez vu.","나의 모습을 본 이상 살아서 돌아가지 못할 것이야.","既然被你看到我的样子，就不能让你活下去。","既然被你看到我的樣子，就不能讓你活下去","Sosoknya sudah terlihat, kita tidak bisa membiarkan dia hidup.","เห็นร่างข้าแล้ว คงปล่อยให้อยู่รอดต่อไปไม่ได้หรอก"
82,"不吉な薔薇か。　ここで始末してくれる","Ominous flower. Let us settle this.","Une rose de mauvaise augure... Je vais en finir ici !","불길한 장미? 여기서 끝을 내줘","不祥的蔷薇。就在这里做个了断吧。","不祥的薔薇。就在這裡做個了斷吧","Bunga mawar yang mengerikan. Akan ku habisi kau di sini.","ดอกกุหลาบที่โชคร้ายงั้นเหรอ ข้าจะทำให้มันจบไปตรงนี้ก็แล้วกัน"
83,"小童にかまう暇はない","I don't have time to waste on you, brat.","Je n'ai pas de temps à perdre avec toi, gamin.","풋내기를 상대할 여유 따윈 없다고.","我可没空理会小鬼。","我可沒空理會小鬼","Hei, anak kecil, aku tidak punya waktu untuk memikirkanmu.","ข้าไม่มีเวลามาเล่นกับเด็กน้อยหรอกนะ"
84,"我が真意、貴様にわかるものか","As if such as you could comprehend my true intent.","Comme si vous pouviez y comprendre quelque chose !","우리의 진의를 너 같은 놈이 알 리가 없지","我的本意，你这家伙岂会懂？","我的本意，妳這傢伙豈會懂？","Kamu sudah tahu niat awalku.","แกจะมาเข้าใจอะไรข้า"
85,"かつて王国一と言われたのその剣術奥義、見せてもらおう","I would have you demonstrate these renowned fencing skills I hear about.","Faites-moi donc voir le fil de cette épée que l'on disait être la plus aguerrie de tout le royaume !","한때 왕국 최고의 검술의 비밀을 보여주지.","就让我见识一下，你那过去曾被誉为王国第一的剑术奥义吧。","就讓我見識一下，你那過去曾被譽為王國第一的劍術奧義吧","Mari kita perlihatkan rahasia bermain pedang yang dulu menjadi no. 1 di kerajaan.","ขอชมฝีมือดาบที่ว่ากันว่าเป็นหนึ่งในอาณาจักรเป็นขวัญตาหน่อยเถอะ"
86,"貴様にかける情けはないぞ、アスラ","I won't go easy on you, Asura.","Ne compte pas sur mon indulgence, Asura !","네놈에게 줄 자비 같은 건 없어 아스라!","阿修罗，我不会同情你的。","阿修羅，我不會同情你的","Tidak ada belas kasihan untukmu, Asura.","ฉันไม่มีความเห็นใจให้แกหรอกนะ อาสึระ"
87,"お前だけは赦さない……","I'll show you no mercy.","Je n'aurai aucune pitié pour toi...","너만은 용서하지 않아……","只有你，是不能原谅的……","只有你，是不能原諒的……","Hanya kamu yang tidak akan aku maafkan","แกคนเดียวที่ฉันจะไม่เกรงใจ"
88,"私には守らなきゃならないものがある！","There's something I have to protect at all cost!","Je dois protéger quelque chose coûte que coûte !","내게는 지켜야 할 것이 있어!","我有必须守护的东西！","我有必須守護的東西！","Ada hal yang harus aku lindungi.","ฉันเองก็มีสิ่งที่ต้องปกป้องเหมือนกัน!"
89,"隊長、ここは退いてください","Captain, please stand back.","Capitaine, vous devriez vous retirer.","대장，여기는 피하십시요.","队长，还请您让开吧","隊長，還請您讓開吧","Kapten, tolong tarik yang ini.","ผบ. คะ กรุณาถอยไปค่ะ"
90,"また会えるとは思っていなかったわ、フロレンス","I didn't think I'd ever see you again, Florence.","Je ne pensais pas te revoir un jour, Florence !","다시 만날 거라고는 생각도 못했어 프로렌스.","没有想到还会再见面呢，佛罗伦斯。","沒有想到還會再見面呢，佛羅倫斯","Aku tidak berfikir bisa bertemu kamu lagi, Florence","ไม่คิดว่าจะได้เจอกันอีกนะ ฟลอเรนซ์"
91,"謀ってくれたわね、アスラ","You've been plotting, haven't you Asura?","On dirait bien que tu as comploté dans notre dos, Asura !","궁리 좀 했는걸?! 아수라.","阿修罗，你竟敢算计我啊。","阿修羅，你竟敢算計我啊","Jadi, kamu sudah punya rencana ya, Asura.","เจ้าเล่ห์นักนะ อาสึระ"
92,"しぶとい女だ、我が手でとどめを刺してくれる","Stubborn woman, I'll finish you by my own hand.","Quelle femme coriace, nous allons devoir t'arrêter de mes propre mains.","끈질긴 여자군. 내 손에서 모든 걸 끝내주지.","真是难缠的女人，就让我亲手了结你吧！","真是難纏的女人，就讓我親手了結妳吧！","Wanita yang kuat,","เป็นผู้หญิงที่ดื้อด้านจริงนะ ข้าจะหยุดเจ้าด้วยมือของข้าเองนี่แหละ"
93,"やれやれ、面倒な事になっちまったようだな","Tsk, looks like things got messy.","Nous voilà embourbés dans une sale situation...",,"哎呀呀，这下事情麻烦了。","哎呀呀，這下事情麻煩了","Oh tidak, kelihatanya akan menjadi hal yang menyusahkan.","ให้ตายสิ กลายเป็นเรื่องยุ่งยากขึ้นมาซะได้"
