"id","name","item_no","kind","sub_kind","duration","cond","image","image_frame","effect_image","caption","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
44,"バレンタインカード",43,1,,0,,"item_c_e004.swf",1,"cutinchara01_skl00.swf","クエストで使用するとバレンタインクエストを取得します。","2010-04-06 04:53:16 UTC","Valentine's Day Card","Carte de la St Valentin","발렌타인 카드","情人节卡片","情人節卡片","Valentine Card","การ์ดวาเลนไทน์","Use this item during a quest to acquire the Valentine's Day quest.","Lorsque vous utilisez cette carte au cours d'une Quête, vous pouvez accéder à la Quête de la St Valentin !","퀘스트로 사용하면 발렌타인 퀘스트를 받을 수 있습니다.","使用后可取得情人节任务","使用後可取得情人節任務","Mendapatkan quest Valentine saat digunakan di dalam Quest.","หากใช้ในระหว่างทำเควสจะได้รับเควสวาเลนไทน์"
45,"ホワイトデーカード",44,1,,0,,"item_c_e005.swf",1,"cutinchara01_skl00.swf","クエストで使用するとホワイトデークエストを取得します。","2010-04-06 04:53:16 UTC","White Day Card","Carte de White Day","화이트데이 카드","白色情人节卡片","白色情人節卡片","White Valentine Card","การ์ดไวท์เดย์","Use this item during a quest to acquire the White Day quest.","Lorsque vous utilisez cette carte au cours d'une Quête, vous pouvez accéder à la Quête du White Day !","퀘스트로 사용하면 화이트데이 퀘스트를 받을 수 있습니다.","使用后可取得白色情人节任务","使用後可取得白色情人節任務","Mendapatkan quest White Valentine saat digunakan di dalam Quest.","หากใช้ในระหว่างทำเควสจะได้รับเควสไวท์เดย์"
46,"至宝の神薬5",45,0,,0,,"item_c_a001.swf",2,"cutinchara01_skl00.swf","アバターの最大APを+5します。","2010-04-06 04:53:16 UTC","Aesculapius Draught 5","Remède Miraculeux 5","전설의 묘약","至宝的神药5","至寶的神藥5","Miracle Remedy 5","โอสถสวรรค์เลอค่า 5","Increase maximum AP by 5.","Le maximum d'AP de votre Avatar augmente de +5","아바타의 최대 행동력(AP)을 +5 늘립니다.","虚拟人物的最大AP+5","虛擬人物的最大AP+5","Meningkatkan bats maksimum AP sebanyak 5 poin.","AP สูงสุดของอวาตาร์ +5"
47,"ExAnemonea通行証1",46,1,,0,,"item_c_c002.swf",1,"cutinchara01_skl00.swf","Anemoneaの隠された地域を探索する。（0分）","2010-04-06 04:53:16 UTC","Ex Anemonea Pass 1","Permission de passage ExAnemonea 1","ExAnemonea통행증1","Ex安妮莫娜通行证 1","Ex安妮莫娜通行證 1","ExAnemonea Pass 1","ใบอนุญาตผ่าน ExAnemonea 1","Search for the hidden area of Ex Shadowland. (0 minutes)","Rechercher la région cachée d'ExAnemonea (0 min)","Anemonea의 숨겨진 지역을 탐색(0분)","搜索安妮莫娜的隐藏区域（0分）","搜索安妮莫娜的隱藏區域（0分）","Mencari area tersembunyi di ExAnemonea.","สำรวจอาณาเขตลับใน Anemonea (0 นาที)"
48,"ExAnemonea通行証2",47,1,,0,,"item_c_c002.swf",2,"cutinchara01_skl00.swf","Anemoneaの隠された地域を探索する。（2時間）","2010-04-06 04:53:16 UTC","Ex Anemonea Pass 2","Permission de passage ExAnemonea 2","ExAnemonea통행증2","Ex安妮莫娜通行证 2","Ex安妮莫娜通行證 2","ExAnemonea Pass 2","ใบอนุญาตผ่าน ExAnemonea 2","Search for the hidden area of Ex Shadowland. (2 hours)","Rechercher la région cachée d'ExAnemonea (2 heures)","Anemonea의 숨겨진 지역을 탐색(2시간)","搜索安妮莫娜的隐藏区域（2小时）","搜索安妮莫娜的隱藏區域（2小時）","Mencari area tersembunyi di ExAnemonea (2 Jam).","สำรวจอาณาเขตลับใน Anemonea (2 ชั่วโมง)"
49,"ExAnemonea通行証3",48,1,,0,,"item_c_c002.swf",3,"cutinchara01_skl00.swf","Anemoneaの隠された地域を探索する。（3日）","2010-04-06 04:53:16 UTC","Ex Anemonea Pass 3","Permission de passage ExAnemonea 3","ExAnemonea통행증3","Ex安妮莫娜通行证 3","Ex安妮莫娜通行證 3","ExAnemonea Pass 3","ใบอนุญาตผ่าน ExAnemonea 3","Search for the hidden area of Ex Shadowland. (3 days)","Rechercher la région cachée d'ExAnemonea (3 jours)","Anemonea의 숨겨진 지역을 탐색(3일)","搜索安妮莫娜的隐藏区域（3天）","搜索安妮莫娜的隱藏區域（3天）","Mencari area tersembunyi di ExAnemonea (3 Hari).","สำรวจอาณาเขตลับใน Anemonea (3 วัน)"
50,"小さなクローゼット",49,0,,0,,"item_c_f000.swf",1,"cutinchara01_skl00.swf","アバター衣装の所持限界数を+1します。","2010-04-06 04:53:16 UTC","Small Closet","Petit placard","작은 옷장","小型衣橱","小型衣櫥","Small Closet","ตู้ใบเล็ก","Increase your avatar wardrobe size by 1.","+1 à la limite d'équipement de votre Avatar.","보유할 수 있는 아바타의 의상 갯수를 +1 늘립니다.","虚拟人物服装最大持有数+1。","虛擬人物服裝最大持有數+1。","Menambah 1 slot perlengkapan Avatar.","ขีดจำกัดระยะเวลาชุดอวาตาร์ที่มีอยู่ +1"
51,"コデックスの欠片",50,1,,0,,"item_c_e007.swf",1,"cutinchara01_skl00.swf","クエストで使用するとイベント専用クエストを取得します。","2010-04-06 04:53:16 UTC","Codex Fragment","Fragment de Codex","코덱스의 조각","法典的碎片","法典的碎片","Codex Fragment","ชิ้นส่วนของโคเด็กซ์","Use this item during a quest to acquire the Event quest.","Lorsque vous l'utilisez durant une Quête, vous pouvez accéder aux Quêtes Evénément.","퀘스트로 사용하면 이벤트 전용 퀘스트를 획득합니다.","使用后可取得活动专属任务。","使用後可取得活動專屬任務。","Digunakan dalam Quest untuk mendapatkan Quest Event.","หากใช้ระหว่างทำเควสจะได้รับเควสพิเศษในช่วงอีเวนท์"
52,"掟の箱",51,1,,0,,"item_c_e008.swf",1,"cutinchara01_skl00.swf","クエストで使用すると財宝クエストを取得します。","2010-04-06 04:53:16 UTC","Chest of Laws","Coffre aux Lois","규칙의 상자","律法之箱","律法之箱","Box of Law","หีบแห่งกฎ","Use this item during a quest to acquire a treasure quest.","Lorsque vous l'utilisez durant une Quête, vous pouvez accéder aux Recherches de Trésor.","암흑탑의 숨겨진 퀘스트를 획득 할 수 있습니다.","在任务中使用的话可以取得财宝任务","在任務中使用的話可以取得財寶任務","Digunakan dalam Quest untuk mendapatkan Quest Treasure.","หากใช้ระหว่างทำเควสจะได้รับเควสสมบัติ"
53,"黄の宝石袋",52,0,,0,,"item_c_b150.swf",1,"cutinchara01_skl00.swf","使用すると500GEMを獲得します。","2010-04-06 04:53:16 UTC","Bag of Precious Stones (Yellow)","Sac de pierres précieuses jaune","보석주머니(황)","黄之宝石袋","黃之寶石袋","Yellow Jewelry Bag","ถุงอัญมณีสีเหลือง","Use this item to receive 500 gems.","En utilisant ce sac, vous obtenez 500 GEM.","사용하면 500 GEM을 획득할 수 있습니다.","使用后获得500GEM","使用後獲得500GEM","Tas berisi 500 GEM.","หากใช้จะได้รับ GEM 500 ชิ้น"
54,"緑の宝石袋",53,0,,0,,"item_c_b150.swf",2,"cutinchara01_skl00.swf","使用すると1000GEMを獲得します。","2010-04-06 04:53:16 UTC","Bag of Precious Stones (Green)","Sac de pierres précieuses vert","보석주머니(녹)","绿之宝石袋","綠之寶石袋","Green Jewelry Bag","ถุงอัญมณีสีเขียว","Use this item to receive 1000 gems.","En utilisant ce sac, vous obtenez 1000 GEM.","사용하면 1000 GEM을 획득할 수 있습니다.","使用后获得1000GEM","使用後獲得1000GEM","Tas berisi 1.000 GEM.","หากใช้จะได้รับ GEM 1000 ชิ้น"
55,"青の宝石袋",54,0,,0,,"item_c_b150.swf",3,"cutinchara01_skl00.swf","使用すると3000GEMを獲得します。","2010-04-06 04:53:16 UTC","Bag of Precious Stones (Blue)","Sac de pierres précieuses bleu","보석주머니(청)","青之宝石袋","青之寶石袋","Blue Jewelry Bag","ถุงอัญมณีสีฟ้า","Use this item to receive 3000 gems.","En utilisant ce sac, vous obtenez 3000 GEM.","사용하면 3000 GEM을 획득할 수 있습니다.","使用后获得3000GEM","使用後獲得3000GEM","Tas berisi 3.000 GEM.","หากใช้จะได้รับ GEM 3000 ชิ้น"
56,"赤の宝石袋",55,0,,0,,"item_c_b150.swf",4,"cutinchara01_skl00.swf","使用すると5000GEMを獲得します。","2010-04-06 04:53:16 UTC","Bag of Precious Stones (Red)","Sac de pierres précieuses rouge","보석주머니(적)","赤之宝石袋","赤之寶石袋","Red Jewelry Bag","ถุงอัญมณีสีแดง","Use this item to receive 5000 gems.","En utilisant ce sac, vous obtenez 5000 GEM.","사용하면 5000 GEM을 획득할 수 있습니다.","使用后获得5000GEM","使用後獲得5000GEM","Tas berisi 5.000 GEM.","หากใช้จะได้รับ GEM 5000 ชิ้น"
57,"紫の宝石袋",56,0,,0,,"item_c_b150.swf",5,"cutinchara01_skl00.swf","使用すると10000GEMを獲得します。","2010-04-06 04:53:16 UTC","Bag of Precious Stones (Purple)","Sac de pierres précieuses violet","보석주머니(자)","紫之宝石袋","紫之寶石袋","Violet Jewelry Bag","ถุงอัญมณีสีม่วง","Use this item to receive 10000 gems.","En utilisant ce sac, vous obtenez 10 000 GEM.","사용하면 10000 GEM을 획득할 수 있습니다.","使用后获得10000GEM","使用後獲得10000GEM","Tas berisi 10.000 GEM.","หากใช้จะได้รับ GEM 10000 ชิ้น"
58,"成熟ラベンダー",57,1,,0,,"item_c_e009.swf",1,"cutinchara01_skl00.swf","クエストで使用するとイベント専用クエストを取得します。（0分）","2010-04-06 04:53:16 UTC","Mature Lavender","Eclosion de Lavande","라벤더의 꽃","绽放的薰衣草","綻放的薰衣草","Blooming Lavender","ลาเวนเดอร์เจริญพันธุ์","Use this item during a quest to acquire the Event quest. (0 minutes)","Utilisée lors d'une Quête, elle vous permet d'accéder à une Quête spécial Evénement (0 min).","퀘스트로 사용하면 이벤트 전용 퀘스트를 획득할 수 있습니다. (0분)","使用后可取得活动专属任务。（0分）","使用後可取得活動專屬任務。（0分）","Digunakan dalam Quest untuk mendapatkan Quest Special Event.","หากใช้ระหว่างทำเควสจะได้รับเควสพิเศษในช่วงอีเวนท์ (0 นาที)"
59,"半熟ラベンダー",58,1,,0,,"item_c_e009.swf",2,"cutinchara01_skl00.swf","クエストで使用するとイベント専用クエストを取得します。（8時間）","2010-04-06 04:53:16 UTC","Partially Mature Lavender","Bourgeon de Lavande","라벤더의 눈","半开的薰衣草","半開的薰衣草","Budding Lavender","ลาเวนเดอร์แรกแย้ม","Use this item during a quest to acquire the Event quest. (8 hours)","Utilisée lors d'une Quête, elle vous permet d'accéder à une Quête spécial Evénement (8h).","퀘스트로 사용하면 이벤트 전용 퀘스트를 획득할 수 있습니다. (8시간)","使用后可取得活动专属任务。（8小时）","使用後可取得活動專屬任務。（8小時）","Digunakan dalam Quest untuk mendapatkan Quest Special Event (8 Jam).","หากใช้ระหว่างทำเควสจะได้รับเควสพิเศษในช่วงอีเวนท์ (8 ชั่วโมง)"
60,"未熟ラベンダー",59,1,,0,,"item_c_e009.swf",3,"cutinchara01_skl00.swf","クエストで使用するとイベント専用クエストを取得します。（3日）","2010-04-06 04:53:16 UTC","Unripe Lavender","Pousse de Lavande","라벤더의 새싹","含苞的薰衣草","含苞的薰衣草","Seedling Lavender","ลาเวนเดอร์ทารก","Use this item during a quest to acquire the Event quest. (3 days)","Utilisée lors d'une Quête, elle vous permet d'accéder à une Quête spécial Evénement (3 jours).","퀘스트로 사용하면 이벤트 전용 퀘스트를 획득할 수 있습니다. (3일)","使用后可取得活动专属任务。（3天）","使用後可取得活動專屬任務。（3天）","Digunakan dalam Quest untuk mendapatkan Quest Special Event (3 Hari).","หากใช้ระหว่างทำเควสจะได้รับเควสพิเศษในช่วงอีเวนท์ (3 วัน)"
61,"鉄の鎖",60,3,,0,,"item_c_e010.swf",1,"cutinchara01_skl00.swf","流涕の森イベント用収集アイテム1P（イベント終了後に消失します）","2010-04-06 04:53:16 UTC","Iron Chains","Chaîne de Fer","철의 쇠사슬","铁炼","鐵鍊","Iron Chain","โซ่ตรวนโลหะ","An item you need to collect for the Forest of Grief event. 1 point. (Disappears after the event is over.)","Article à collectionner pour l'événement La Forêt aux Sanglots 1P (disparaît après l'événement).","눈물의 숲 이벤트용 수집아이템1P (이벤트 종료후 초기화 됩니다.)","哭号之森活动专用收集物品1P (活动结束后消失)","哭號之森活動專用收集物品1P (活動結束後消失)","Item senilai 1 point yang dikumpulkan dari Ryutei Forest (akan hilang setelah Event berakhir).","ไอเท็มที่สะสมจากเควสป่าร่ำไห้ 1P (จะหายไปหลังจบอีเวนท์)"
